time,agg_demand,agg_supply,historical_prices,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions
2464,14669.400000000001,4456.383333333332,0.061,24,4,16,8
2465,19520.333333333332,898.1499999999999,0,26,0,13,13
2466,18076,0,0,22,0,11,11
2467,17651.083333333332,0,0,28,0,14,14
2468,18732.93333333333,0,0,24,0,12,12
2469,20071.166666666664,0,0,28,0,14,14
2470,14370.966666666664,0,0,26,0,13,13
2471,12436.333333333332,0,0,26,0,13,13
2472,8322.033333333333,0,0,28,0,14,14
2473,7713.649999999999,0,0,24,0,12,12
2474,7678.583333333331,0,0,28,0,14,14
2475,10423,0,0,20,0,10,10
2476,8861.333333333332,0,0,22,0,11,11
2477,11208.25,0,0,16,0,8,8
2478,13518.933333333332,134.85,0,22,0,11,11
2479,11037.149999999998,632.05,0,16,0,8,8
2480,13812.066666666662,2899.9166666666665,0,20,0,10,10
2481,12385.833333333332,2987.483333333333,0,16,0,8,8
2482,14742.56666666667,5242.633333333332,0,17,0,9,8
2483,11855.683333333334,3904.3499999999995,0.063,22,4,15,7
2484,11697.466666666667,7405.966666666667,0.063,22,7,18,4
2485,12450.95,14651.2,0.05,21,10,21,0
2486,11176.716666666665,8983.85,0.057,30,14,29,1
2487,11847.916666666666,10670.566666666666,0.045,29,14,29,0
2488,14845.783333333331,11048.616666666667,0.052,26,12,25,1
2489,17027.6,7283.866666666667,0.063,22,8,19,3
2490,20187.13333333333,1438.7166666666665,0,16,0,8,8
2491,22686.449999999997,0,0,24,0,12,12
2492,17214.716666666667,2.65,0,26,0,13,13
2493,16707.750000000004,0,0,26,0,13,13
2494,11251.833333333332,0,0,28,0,14,14
2495,9536.416666666666,0,0,26,0,13,13
2496,8874.483333333334,0,0,24,0,12,12
2497,7762.499999999999,0,0,20,0,10,10
2498,8256.533333333331,0,0,16,0,8,8
2499,11410.899999999998,0,0,14,0,7,7
2500,9280.783333333331,0,0,14,0,7,7
2501,11631.399999999998,0,0,14,0,7,7
2502,15720.683333333329,462.81666666666666,0,14,0,7,7
2503,13268.816666666664,3167.45,0,14,0,7,7
2504,11424.483333333334,8039.166666666666,0,14,0,7,7
2505,10174.749999999998,13017.516666666666,0.056,18,8,17,1
2506,13417.016666666666,18198.066666666666,0.054,24,11,24,0
2507,10311.366666666665,23397.466666666667,0.037,24,9,24,0
2508,12243.35,25679.38333333333,0.003,24,9,24,0
2509,9220.066666666668,25734.98333333333,0.001,24,9,24,0
2510,12199.716666666667,23735.25,0.056,24,9,24,0
2511,16379.983333333334,19878.4,0.023,25,11,25,0
2512,24660.15,14355.116666666667,0.015,26,12,26,0
2513,17363.63333333333,7777.583333333334,0.021,24,11,24,0
2514,19969.516666666663,1384.5333333333333,0,16,0,8,8
2515,29368.6,0,0,18,0,9,9
2516,22409.23333333333,0,0,20,0,10,10
2517,17929.899999999998,0,0,24,0,12,12
2518,13166.916666666666,0,0,24,0,12,12
2519,9466.016666666665,0,0,26,0,13,13
2520,8660.583333333332,0,0,22,0,11,11
2521,8475.683333333332,0,0,18,0,9,9
2522,7566.483333333332,0,0,16,0,8,8
2523,7710.300000000001,0,0,16,0,8,8
2524,7687.133333333334,0,0,14,0,7,7
2525,11100.816666666666,0,0,14,0,7,7
2526,14738.75,428.44999999999993,0,14,0,7,7
2527,14863.299999999997,2918.666666666666,0,14,0,7,7
2528,9291.749999999998,6792.883333333333,0,14,0,7,7
2529,8800.366666666667,12420.216666666665,0.051,22,10,22,0
2530,12242.483333333334,16515.300000000003,0.041,27,12,27,0
2531,15325.083333333332,22644.85,0.053,24,10,24,0
2532,11450.616666666665,25406.4,0.038,23,9,23,0
2533,13673.883333333335,25362.916666666668,0.037,23,9,23,0
2534,19130.65,23629.533333333333,0.04,27,12,27,0
2535,15986.966666666665,20074.933333333334,0.049,27,12,27,0
2536,20932.533333333336,14461.083333333334,0.054,30,14,29,1
